image_id,c,s
img_000001,0.293045,0.023285
img_000002,0.332611,0.063126
img_000003,0.358002,0.05098
img_000004,0.365814,0.023575
img_000005,0.254517,0.0
img_000006,0.23349,0.151306
img_000007,0.393036,0.030258
img_000008,0.400574,0.0
img_000009,0.437256,0.019775
img_000010,0.353546,0.0
img_000011,0.490067,0.031906
img_000012,0.384537,0.044785
img_000013,0.302139,0.00766
img_000014,0.502121,0.023788
img_000015,0.415482,0.011597
img_000016,0.409943,0.0
img_000017,0.470245,0.063873
img_000018,0.39502,0.021591
img_000019,0.468506,0.0
img_000020,0.343506,0.053391
img_000021,0.25296,0.060837
img_000022,0.301147,0.044235
img_000023,0.431046,0.016068
img_000024,0.432755,0.071976
img_000025,0.219833,0.052475
img_000026,0.352081,0.021027
img_000027,0.455032,0.023392
img_000028,0.325439,0.007751
img_000029,0.421356,0.081284
img_000030,0.467941,0.03067
img_000031,0.291229,0.053421
img_000032,0.465805,0.075195
img_000033,0.475784,0.038605
img_000034,0.394272,0.07164
img_000035,0.442551,0.036026
img_000036,0.382843,0.043091
img_000037,0.451721,0.014496
img_000038,0.254517,0.049728
img_000039,0.441742,0.002457
img_000040,0.500504,0.060959
img_000041,0.438034,0.038223
img_000042,0.50592,0.014725
img_000043,0.423141,0.020752
img_000044,0.23111,0.084732
img_000045,0.401779,0.081406
img_000046,0.443771,0.08403
img_000047,0.402084,0.0
img_000048,0.2715,0.075699
img_000049,0.361008,0.0
img_000050,0.258759,0.0681
img_000051,0.247528,0.044693
img_000052,0.397324,0.035187
img_000053,0.421906,0.014954
img_000054,0.424377,0.031143
img_000055,0.432007,0.0186
img_000056,0.363647,0.0
img_000057,0.332489,0.015671
img_000058,0.451691,0.094116
img_000059,0.495529,0.052277
img_000060,0.328918,0.022537
img_000061,0.37764,0.0
img_000062,0.223633,0.0
img_000063,0.474487,0.052521
img_000064,0.370697,0.038528
img_000065,0.370148,0.071884
img_000066,0.325409,0.0
img_000067,0.479996,0.053696
img_000068,0.477859,0.033096
img_000069,0.440308,0.050446
img_000070,0.275238,0.059555
img_000071,0.420883,0.018585
img_000072,0.234726,0.143814
img_000073,0.424728,0.039536
img_000074,0.44751,0.017746
img_000075,0.423447,0.015213
img_000076,0.284515,0.050964
img_000077,0.259857,0.051025
img_000078,0.512772,0.008728
img_000079,0.259903,0.089844
img_000080,0.280304,0.081635
img_000081,0.366119,0.0
img_000082,0.449905,0.043518
img_000083,0.466888,0.060257
img_000084,0.268204,0.034119
img_000085,0.386307,0.047943
img_000086,0.424469,0.0
img_000087,0.377319,0.041245
img_000088,0.36377,0.019791
img_000089,0.293762,0.0
img_000090,0.251556,0.047424
img_000091,0.445709,0.016983
img_000092,0.357101,0.01152
img_000093,0.225388,0.026901
img_000094,0.291794,0.007172
img_000095,0.31517,0.04512
img_000096,0.414963,0.014801
img_000097,0.265793,0.024796
img_000098,0.437836,0.040543
img_000099,0.417007,0.023773
img_000100,0.507812,0.03125
img_000101,0.387131,0.031189
img_000102,0.251541,0.022644
img_000103,0.324539,0.015305
img_000104,0.447449,0.008774
img_000105,0.298218,0.059601
img_000106,0.335724,0.039948
img_000107,0.402634,0.0
img_000108,0.397354,0.025528
img_000109,0.376526,0.05098
img_000110,0.246918,0.011475
img_000111,0.431686,0.018021
img_000112,0.377106,0.05043
img_000113,0.472137,0.001572
img_000114,0.42012,0.049454
img_000115,0.292175,0.0
img_000116,0.31041,0.009384
img_000117,0.353729,0.037613
img_000118,0.377121,0.059326
img_000119,0.439743,0.027802
img_000120,0.483902,0.010773
img_000121,0.371399,0.035568
img_000122,0.536133,0.010513
img_000123,0.417969,0.064819
img_000124,0.487488,0.019684
img_000125,0.406174,0.024689
img_000126,0.231812,0.0
img_000127,0.40802,0.02861
img_000128,0.322311,0.056381
img_000129,0.188599,0.038162
img_000130,0.447861,0.026886
img_000131,0.323456,0.07196
img_000132,0.243378,0.0
img_000133,0.445343,0.053024
img_000134,0.287033,0.037476
img_000135,0.439789,0.030334
img_000136,0.237839,0.049438
img_000137,0.371063,0.073547
img_000138,0.356583,0.029404
img_000139,0.519653,0.0
img_000140,0.355698,0.026672
img_000141,0.341721,0.010742
img_000142,0.271805,0.073776
img_000143,0.30484,0.032944
img_000144,0.290024,0.0
img_000145,0.317474,0.090958
img_000146,0.220917,0.00383
img_000147,0.36673,0.032089
img_000148,0.328415,0.040558
img_000149,0.340958,0.024078
img_000150,0.237564,0.014786
img_000151,0.419632,0.018036
img_000152,0.44223,0.009552
img_000153,0.375885,0.076569
img_000154,0.395844,0.029846
img_000155,0.438843,0.011322
img_000156,0.268875,0.021988
img_000157,0.288559,0.092728
img_000158,0.448822,0.047852
img_000159,0.295013,0.031448
img_000160,0.437714,0.0
img_000161,0.27626,0.037766
img_000162,0.29599,0.082901
img_000163,0.30162,0.085648
img_000164,0.233292,0.020401
img_000165,0.430313,0.055893
img_000166,0.347275,0.0
img_000167,0.413696,0.028931
img_000168,0.48291,0.019424
img_000169,0.361267,0.033768
img_000170,0.408554,0.078323
img_000171,0.315491,0.027344
img_000172,0.288818,0.079437
img_000173,0.475403,0.063385
img_000174,0.24791,0.054932
img_000175,0.475174,0.008926
img_000176,0.243912,0.033997
img_000177,0.394455,0.089325
img_000178,0.371353,0.047836
img_000179,0.205444,0.022659
img_000180,0.460556,0.017868
img_000181,0.336685,0.044525
img_000182,0.420456,0.031464
img_000183,0.365402,0.035339
img_000184,0.435791,0.021408
img_000185,0.421631,0.0168
img_000186,0.297119,0.030975
img_000187,0.349701,0.049179
img_000188,0.418365,0.021866
img_000189,0.315552,0.011017
img_000190,0.41713,0.02887
img_000191,0.333023,0.035965
img_000192,0.447037,0.047089
img_000193,0.28479,0.06781
img_000194,0.322754,0.027527
img_000195,0.381607,0.0
img_000196,0.324539,0.06456
img_000197,0.289886,0.044373
img_000198,0.243225,0.028351
img_000199,0.210648,0.044601
img_000200,0.321548,0.039764
img_000201,0.412506,0.026428
img_000202,0.347397,0.075989
img_000203,0.342194,0.086441
img_000204,0.363998,0.002686
img_000205,0.471069,0.043076
img_000206,0.266403,0.080688
img_000207,0.36087,0.046143
img_000208,0.397522,0.069946
img_000209,0.442413,0.0
img_000210,0.353012,0.056488
img_000211,0.431824,0.042892
img_000212,0.475235,0.028275
img_000213,0.506409,0.016998
img_000214,0.439377,0.028412
img_000215,0.481842,0.093567
img_000216,0.385147,0.029572
img_000217,0.312241,0.023666
img_000218,0.286484,0.011429
img_000219,0.510132,0.062531
img_000220,0.313858,0.02916
img_000221,0.422791,0.041794
img_000222,0.218552,0.068832
img_000223,0.376572,0.067734
img_000224,0.27298,0.0
img_000225,0.347458,0.02182
img_000226,0.245239,0.057892
img_000227,0.501251,0.019455
img_000228,0.21991,0.122513
img_000229,0.255386,0.078476
img_000230,0.352951,0.103882
img_000231,0.471725,0.031708
img_000232,0.497757,0.026566
img_000233,0.434235,0.021835
img_000234,0.401459,0.020905
img_000235,0.378036,0.053207
img_000236,0.492722,0.025665
img_000237,0.38269,0.0
img_000238,0.473679,0.023972
img_000239,0.246552,0.042145
img_000240,0.308899,0.061371
img_000241,0.504471,0.030457
img_000242,0.242157,0.017136
img_000243,0.425674,0.017685
img_000244,0.417007,0.009872
img_000245,0.436142,0.027863
img_000246,0.434143,0.063171
img_000247,0.367264,0.022491
img_000248,0.440887,0.028152
img_000249,0.385178,0.008728
img_000250,0.456833,0.028824
img_000251,0.222183,0.02005
img_000252,0.38385,0.025726
img_000253,0.443314,0.055176
img_000254,0.425034,0.037033
